solver,iteration,timestamp,error,x[0],x[1],x[2],x[3]
jacobi,1,1761300056.3697886,3.75,3.75,2.5,2.5,3.3333333333333335
jacobi,2,1761300056.3698354,1.5625,4.375,4.0625,3.9583333333333335,4.166666666666667
jacobi,3,1761300056.3698509,0.5989583333333335,4.765625,4.583333333333334,4.557291666666667,4.652777777777778
jacobi,4,1761300056.3698642,0.2517361111111107,4.895833333333334,4.830729166666667,4.809027777777778,4.852430555555556
jacobi,5,1761300056.3698835,0.11176215277777768,4.957682291666667,4.926215277777778,4.920789930555555,4.936342592592593
jacobi,6,1761300056.3698947,0.0448495370370372,4.981553819444445,4.969618055555555,4.965639467592593,4.973596643518518
jacobi,7,1761300056.3699062,0.020164207175925597,4.992404513888889,4.9867983217592595,4.985803674768518,4.988546489197531
jacobi,8,1761300056.3699155,0.00803252797067966,4.996699580439815,4.994552047164352,4.993836202739198,4.995267891589506
jacobi,9,1761300056.3699245,0.0036187819492665696,4.998638011791088,4.997633945794753,4.997454984688464,4.997945400913066
jacobi,10,1761300056.3699343,0.0014398519884908367,4.999408486448688,4.9990232491198885,4.998894836676955,4.999151661562821
jacobi,11,1761300056.3699434,0.0006488909937223397,4.999755812279972,4.999575830781411,4.999543727670678,4.9996316122256514
jacobi,12,1761300056.3699534,0.0002581330810880189,4.9998939576953525,4.999824884987662,4.999801860751766,4.999847909223559
jacobi,13,1761300056.3699622,0.00011633780103981195,4.999956221246915,4.99992395461178,4.999918198552805,4.9999339535839225
jacobi,14,1761300056.3699713,4.6278496119711576e-05,4.999980988652945,4.99996860494993,4.999964477048925,4.999972732850935
jacobi,15,1761300056.3699806,2.0857401291429767e-05,4.999992151237483,4.999986366425468,4.9999853344502165,4.999988159016309
jacobi,16,1761300056.36999,8.296910227301169e-06,4.999996591606367,4.999994371421925,4.999993631360444,4.999995111483405
jacobi,17,1761300056.3699992,3.7393658889328663e-06,4.999998592855482,4.999997555741703,4.999997370726333,4.999997877120148
jacobi,18,1761300056.3700085,1.4874891300920012e-06,4.999999388935426,4.999998990895453,4.999998858215463,4.999999123575445
jacobi,19,1761300056.3700175,6.704022617043393e-07,4.999999747723863,4.999999561787722,4.999999528617725,4.999999619405155
jacobi,20,1761300056.3700268,2.666804945761214e-07,4.99999989044693,4.999999819085397,4.999999795298219,4.999999842872575
jacobi,21,1761300056.3700356,1.2019127382245642e-07,4.999999954771349,4.999999921436287,4.999999915489493,4.999999931766073
jacobi,22,1761300056.3700447,4.781109730345179e-08,4.999999980359072,4.999999967565211,4.99999996330059,4.999999971829831
jacobi,23,1761300056.370054,2.1548170359153573e-08,4.999999991891302,4.999999985914916,4.999999984848761,4.999999987766864
jacobi,24,1761300056.3700633,8.571684695368731e-09,4.999999996478729,4.999999994185016,4.999999993420445,4.999999994949587
jacobi,25,1761300056.3700724,3.86320486711611e-09,4.999999998546254,4.999999997474793,4.99999999728365,4.999999997806815
jacobi,26,1761300056.3700824,1.536752058939328e-09,4.999999999368699,4.999999998957476,4.999999998820402,4.99999999909455
jacobi,27,1761300056.3700917,6.926041962174168e-10,4.999999999739369,4.999999999547275,4.999999999513006,4.999999999606801
jacobi,28,1761300056.370101,2.7551294579097885e-10,4.9999999998868185,4.9999999998130935,4.999999999788519,4.9999999998376685
jacobi,29,1761300056.3701098,1.241708957877563e-10,4.999999999953273,4.999999999918835,4.99999999991269,4.999999999929506
jacobi,30,1761300056.3701193,4.9395154633202765e-11,4.999999999979709,4.999999999966491,4.999999999962085,4.999999999970897
gauss_seidel,1,1761300056.3728216,4.453125,3.75,3.4375,3.359375,4.453125
gauss_seidel,2,1761300056.3728473,1.376953125,4.609375,4.4921875,4.736328125,4.912109375
gauss_seidel,3,1761300056.3728673,0.41015625,4.873046875,4.90234375,4.95361328125,4.984537760416667
gauss_seidel,4,1761300056.3728955,0.1025390625,4.9755859375,4.9822998046875,4.991709391276042,4.997236463758681
gauss_seidel,5,1761300056.372914,0.019989013671875,4.995574951171875,4.9968210856119795,4.998514387342665,4.999504795780888
gauss_seidel,6,1761300056.3729362,0.0036303202311200877,4.999205271402995,4.999429914686415,4.999733677616826,4.9999112258722755
gauss_seidel,7,1761300056.3729553,0.0006522072686090397,4.999857478671604,4.999897789072108,4.999952253736096,4.999984084578698
gauss_seidel,8,1761300056.372974,0.00011696859642285062,4.999974447268027,4.99998167525103,4.999991439957432,4.999997146652477
gauss_seidel,9,1761300056.3729923,2.097154473013063e-05,4.999995418812757,4.999996714692547,4.999998465336256,4.999999488445419
gauss_seidel,10,1761300056.3730106,3.7598603794819496e-06,4.999999178673137,4.9999994110023485,4.999999724861942,4.999999908287314
gauss_seidel,11,1761300056.3730292,6.740774507463243e-07,4.999999852750587,4.999999894403132,4.999999950672612,4.9999999835575375
gauss_seidel,12,1761300056.3730478,1.2085019562846355e-07,4.999999973600783,4.999999981068349,4.999999991156471,4.999999997052157
gauss_seidel,13,1761300056.373066,2.1666304306222628e-08,4.999999995267087,4.99999999660589,4.999999998414512,4.9999999994715045
gauss_seidel,14,1761300056.3730843,3.884385257890699e-09,4.9999999991514725,4.9999999993914965,4.99999999971575,4.99999999990525
gauss_seidel,15,1761300056.3731027,6.964020471400545e-10,4.999999999847875,4.999999999890906,4.999999999949039,4.999999999983014
gauss_seidel,16,1761300056.3731217,1.248521286356663e-10,4.999999999972727,4.999999999980441,4.999999999990864,4.999999999996954
gauss_seidel,17,1761300056.3731413,2.2383872533282556e-11,4.999999999995111,4.9999999999964935,4.999999999998362,4.999999999999454
direct,0,1761300056.3871546,0.0,5.0,5.0,4.999999999999999,4.999999999999999
newton,1,1761300056.3880203,0.5,1.5,,,
newton,2,1761300056.3880632,0.08333333333333333,1.4166666666666667,,,
newton,3,1761300056.3880863,0.002450980392156932,1.4142156862745099,,,
newton,4,1761300056.3881073,2.123899819940621e-06,1.4142135623746899,,,
newton,5,1761300056.3881276,1.5947429102833119e-12,1.4142135623730951,,,
newton,6,1761300056.388147,1.570092458683775e-16,1.414213562373095,,,
